feature,importance
away_world_cup_appearances,27.365878715240562
home_average_finish,21.109906319816933
elo_difference,10.066990281937862
home_team_elo,5.413519469283293
away_knockout_rate,5.234115078176927
away_semi_final_rate,4.589900870683047
away_goal_diff_last_5,4.2526141461596225
away_win_rate_last_5,4.239550756604368
away_team_elo,3.8372556453876587
away_average_finish,3.312356062300391
home_world_cup_appearances,3.0911593585827757
away_final_rate,2.0326476584168627
home_conceded_last_5,1.9136097085461705
away_goals_last_5,1.643303582787796
home_final_rate,1.0480486927612283
home_goals_last_5,0.8491436533145189
home_goal_diff_last_5,0.0
home_win_rate_last_5,0.0
away_conceded_last_5,0.0
away_historical_titles,0.0
home_knockout_rate,0.0
head_to_head_goal_difference,0.0
home_historical_titles,0.0
head_to_head_win_rate,0.0
head_to_head_games,0.0
home_semi_final_rate,0.0
stage_weight,0.0
